rank,artist,title
1,아이유,마음을 드려요
2,지코 (ZICO),아무노래
3,Crush,둘만의 세상으로 가
4,창모 (CHANGMO),METEOR
5,백예린,"다시 난, 여기"
6,Red Velvet (레드벨벳),Psycho
7,아이유,Blueming
8,방탄소년단,Black Swan
9,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
10,노을,늦은 밤 너의 집 앞 골목길에서
11,마마무 (Mamamoo),HIP
12,백현 (BAEKHYUN),너를 사랑하고 있어
13,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
14,김재환,어떤 날엔
15,방탄소년단,봄날
16,AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
17,염따,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)"
18,방탄소년단,소우주 (Mikrokosmos)
19,윤미래,Flower
20,마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
21,백예린,Square (2017)
22,창모 (CHANGMO),빌었어
23,아이유,Love poem
24,방탄소년단,IDOL
25,송가인,내 마음의 사진
26,마크툽 (MAKTUB),마음이 말하는 행복 (Happiness) (Feat.이라온)
27,방탄소년단,Make It Right
28,폴킴,안녕
29,전상근,사랑이란 멜로는 없어
30,Anne-Marie,2002
31,백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어"
32,방탄소년단,Dionysus
33,임재현,조금 취했어 (Prod. 2soo)
34,V.O.S,다시 만날까 봐
35,가호 (Gaho),시작
36,다비치,노을
37,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
38,다비치,나의 오랜 연인에게
39,V.O.S,잘 지내고 있는지 궁금해
40,Arizona Zervas,ROXANNE
41,Billie Eilish,bad guy
42,세정,나의 모든 날
43,V.O.S,잘 살고 있다
44,신예영,우리 왜 헤어져야 해
45,Lauv,Paris In The Rain
46,Idina Menzel,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)"
47,Anne-Marie,Birthday
48,김나영,헤어진 우리가 지켜야 할 것들
49,Jeremy Zucker,comethru
50,HYNN (박혜원),시든 꽃에 물을 주듯
